,Unnamed: 0,Months,Year Code,Year,Value
767,7907,Dec?Jan?Feb,2008,2008,-0.458
768,7908,Dec?Jan?Feb,2009,2009,0.391
769,7909,Dec?Jan?Feb,2010,2010,1.763
770,7910,Dec?Jan?Feb,2011,2011,1.473
771,7911,Dec?Jan?Feb,2012,2012,0.219
772,7912,Dec?Jan?Feb,2013,2013,0.669
773,7913,Dec?Jan?Feb,2014,2014,0.24
774,7914,Dec?Jan?Feb,2015,2015,-0.34
775,7915,Dec?Jan?Feb,2016,2016,-0.984
776,7916,Dec?Jan?Feb,2017,2017,0.979
777,7917,Dec?Jan?Feb,2018,2018,0.254
778,7918,Dec?Jan?Feb,2019,2019,1.458
779,7919,Dec?Jan?Feb,2020,2020,0.156
780,7920,Mar?Apr?May,1961,1961,-1.005
781,7921,Mar?Apr?May,1962,1962,-0.803
782,7922,Mar?Apr?May,1963,1963,-0.952
783,7923,Mar?Apr?May,1964,1964,-1.93
784,7924,Mar?Apr?May,1965,1965,0.75
785,7925,Mar?Apr?May,1966,1966,0.096
786,7926,Mar?Apr?May,1967,1967,-0.439
787,7927,Mar?Apr?May,1968,1968,0.685
788,7928,Mar?Apr?May,1969,1969,0.369
789,7929,Mar?Apr?May,1970,1970,-0.721
790,7930,Mar?Apr?May,1971,1971,0.929
791,7931,Mar?Apr?May,1972,1972,-0.867
792,7932,Mar?Apr?May,1973,1973,0.38
793,7933,Mar?Apr?May,1974,1974,-0.282
794,7934,Mar?Apr?May,1975,1975,1.17
795,7935,Mar?Apr?May,1976,1976,-1.305
796,7936,Mar?Apr?May,1977,1977,0.599
797,7937,Mar?Apr?May,1978,1978,1.507
798,7938,Mar?Apr?May,1979,1979,0.449
799,7939,Mar?Apr?May,1980,1980,0.864
800,7940,Mar?Apr?May,1981,1981,0.768
801,7941,Mar?Apr?May,1982,1982,0.213
802,7942,Mar?Apr?May,1983,1983,0.59
803,7943,Mar?Apr?May,1984,1984,0.401
804,7944,Mar?Apr?May,1985,1985,-0.077
805,7945,Mar?Apr?May,1986,1986,0.386
806,7946,Mar?Apr?May,1987,1987,-0.161
807,7947,Mar?Apr?May,1988,1988,1.151
808,7948,Mar?Apr?May,1989,1989,-1.843
809,7949,Mar?Apr?May,1990,1990,-1.012
810,7950,Mar?Apr?May,1991,1991,-1.14
811,7951,Mar?Apr?May,1992,1992,0.049
812,7952,Mar?Apr?May,1993,1993,-0.304
813,7953,Mar?Apr?May,1994,1994,-0.435
814,7954,Mar?Apr?May,1995,1995,-0.439
815,7955,Mar?Apr?May,1996,1996,-0.854
816,7956,Mar?Apr?May,1997,1997,-0.423
817,7957,Mar?Apr?May,1998,1998,-1.1
818,7958,Mar?Apr?May,1999,1999,-1.42
819,7959,Mar?Apr?May,2000,2000,-1.835
820,7960,Mar?Apr?May,2001,2001,-0.843
821,7961,Mar?Apr?May,2002,2002,2.606
822,7962,Mar?Apr?May,2003,2003,-0.051
823,7963,Mar?Apr?May,2004,2004,0.264
824,7964,Mar?Apr?May,2005,2005,0.695
825,7965,Mar?Apr?May,2006,2006,0.244
826,7966,Mar?Apr?May,2007,2007,-0.061
827,7967,Mar?Apr?May,2008,2008,0.98
828,7968,Mar?Apr?May,2009,2009,1.521
829,7969,Mar?Apr?May,2010,2010,0.638
830,7970,Mar?Apr?May,2011,2011,-1.516
831,7971,Mar?Apr?May,2012,2012,-0.369
832,7972,Mar?Apr?May,2013,2013,-0.524
833,7973,Mar?Apr?May,2014,2014,0.463
834,7974,Mar?Apr?May,2015,2015,-0.043
835,7975,Mar?Apr?May,2016,2016,0.57
836,7976,Mar?Apr?May,2017,2017,0.702
837,7977,Mar?Apr?May,2018,2018,1.794
838,7978,Mar?Apr?May,2019,2019,0.795
839,7979,Mar?Apr?May,2020,2020,1.432
840,7980,Jun?Jul?Aug,1961,1961,1.824
841,7981,Jun?Jul?Aug,1962,1962,0.805
842,7982,Jun?Jul?Aug,1963,1963,2.286
843,7983,Jun?Jul?Aug,1964,1964,2.183
844,7984,Jun?Jul?Aug,1965,1965,0.724
845,7985,Jun?Jul?Aug,1966,1966,-0.854
846,7986,Jun?Jul?Aug,1967,1967,0.033
847,7987,Jun?Jul?Aug,1968,1968,-1.144
848,7988,Jun?Jul?Aug,1969,1969,-0.775
849,7989,Jun?Jul?Aug,1970,1970,-0.628
850,7990,Jun?Jul?Aug,1971,1971,-0.988
851,7991,Jun?Jul?Aug,1972,1972,1.485
852,7992,Jun?Jul?Aug,1973,1973,-0.381
853,7993,Jun?Jul?Aug,1974,1974,1.063
854,7994,Jun?Jul?Aug,1975,1975,-1.834
855,7995,Jun?Jul?Aug,1976,1976,-1.442
856,7996,Jun?Jul?Aug,1977,1977,1.777
857,7997,Jun?Jul?Aug,1978,1978,-1.241
858,7998,Jun?Jul?Aug,1979,1979,-1.385
859,7999,Jun?Jul?Aug,1980,1980,-0.032
860,8000,Jun?Jul?Aug,1981,1981,2.772
861,8001,Jun?Jul?Aug,1982,1982,-0.575
862,8002,Jun?Jul?Aug,1983,1983,-1.499
863,8003,Jun?Jul?Aug,1984,1984,-0.035
864,8004,Jun?Jul?Aug,1985,1985,1.383
865,8005,Jun?Jul?Aug,1986,1986,-0.677
866,8006,Jun?Jul?Aug,1987,1987,-1.066
867,8007,Jun?Jul?Aug,1988,1988,1.207
868,8008,Jun?Jul?Aug,1989,1989,1.01
869,8009,Jun?Jul?Aug,1990,1990,1.04
870,8010,Jun?Jul?Aug,1991,1991,1.522
871,8011,Jun?Jul?Aug,1992,1992,0.574
872,8012,Jun?Jul?Aug,1993,1993,-1.809
873,8013,Jun?Jul?Aug,1994,1994,0.683
874,8014,Jun?Jul?Aug,1995,1995,0.953
875,8015,Jun?Jul?Aug,1996,1996,2.309
876,8016,Jun?Jul?Aug,1997,1997,-1.066
877,8017,Jun?Jul?Aug,1998,1998,0.323
878,8018,Jun?Jul?Aug,1999,1999,0.214
879,8019,Jun?Jul?Aug,2000,2000,0.343
880,8020,Jun?Jul?Aug,2001,2001,-0.542
881,8021,Jun?Jul?Aug,2002,2002,1.144
882,8022,Jun?Jul?Aug,2003,2003,-0.918
883,8023,Jun?Jul?Aug,2004,2004,-2.422
884,8024,Jun?Jul?Aug,2005,2005,-0.487
885,8025,Jun?Jul?Aug,2006,2006,-0.514
886,8026,Jun?Jul?Aug,2007,2007,2.58
887,8027,Jun?Jul?Aug,2008,2008,0.409
888,8028,Jun?Jul?Aug,2009,2009,1.844
889,8029,Jun?Jul?Aug,2010,2010,0.247
890,8030,Jun?Jul?Aug,2011,2011,1.438
891,8031,Jun?Jul?Aug,2012,2012,-1.101
892,8032,Jun?Jul?Aug,2013,2013,3.48
893,8033,Jun?Jul?Aug,2014,2014,0.452
894,8034,Jun?Jul?Aug,2015,2015,-1.133
895,8035,Jun?Jul?Aug,2016,2016,0.363
896,8036,Jun?Jul?Aug,2017,2017,-0.404
897,8037,Jun?Jul?Aug,2018,2018,3.08
898,8038,Jun?Jul?Aug,2019,2019,-0.403
899,8039,Jun?Jul?Aug,2020,2020,0.552
900,8040,Sep?Oct?Nov,1961,1961,1.044
901,8041,Sep?Oct?Nov,1962,1962,0.399
902,8042,Sep?Oct?Nov,1963,1963,0.498
903,8043,Sep?Oct?Nov,1964,1964,-1.406
904,8044,Sep?Oct?Nov,1965,1965,-1.744
905,8045,Sep?Oct?Nov,1966,1966,0.339
906,8046,Sep?Oct?Nov,1967,1967,-0.208
907,8047,Sep?Oct?Nov,1968,1968,0.315
908,8048,Sep?Oct?Nov,1969,1969,-0.221
909,8049,Sep?Oct?Nov,1970,1970,1.002
910,8050,Sep?Oct?Nov,1971,1971,-0.05
911,8051,Sep?Oct?Nov,1972,1972,0.806
912,8052,Sep?Oct?Nov,1973,1973,1.417
913,8053,Sep?Oct?Nov,1974,1974,0.369
914,8054,Sep?Oct?Nov,1975,1975,0.221
915,8055,Sep?Oct?Nov,1976,1976,-0.009
916,8056,Sep?Oct?Nov,1977,1977,-2.459
917,8057,Sep?Oct?Nov,1978,1978,0.016
918,8058,Sep?Oct?Nov,1979,1979,0.349
919,8059,Sep?Oct?Nov,1980,1980,0.961
920,8060,Sep?Oct?Nov,1981,1981,-2.186
921,8061,Sep?Oct?Nov,1982,1982,0.837
922,8062,Sep?Oct?Nov,1983,1983,-1.532
923,8063,Sep?Oct?Nov,1984,1984,0.864
924,8064,Sep?Oct?Nov,1985,1985,-1.076
925,8065,Sep?Oct?Nov,1986,1986,-1.487
926,8066,Sep?Oct?Nov,1987,1987,-1.227
927,8067,Sep?Oct?Nov,1988,1988,2.112
928,8068,Sep?Oct?Nov,1989,1989,0.355
929,8069,Sep?Oct?Nov,1990,1990,0.394
930,8070,Sep?Oct?Nov,1991,1991,1.11
931,8071,Sep?Oct?Nov,1992,1992,1.027
932,8072,Sep?Oct?Nov,1993,1993,-0.247
933,8073,Sep?Oct?Nov,1994,1994,0.281
934,8074,Sep?Oct?Nov,1995,1995,-0.29
935,8075,Sep?Oct?Nov,1996,1996,1.378
936,8076,Sep?Oct?Nov,1997,1997,-0.192
937,8077,Sep?Oct?Nov,1998,1998,-1.722
938,8078,Sep?Oct?Nov,1999,1999,-1.108
939,8079,Sep?Oct?Nov,2000,2000,0.577
940,8080,Sep?Oct?Nov,2001,2001,0.895
941,8081,Sep?Oct?Nov,2002,2002,0.697
942,8082,Sep?Oct?Nov,2003,2003,-0.639
943,8083,Sep?Oct?Nov,2004,2004,1.325
944,8084,Sep?Oct?Nov,2005,2005,1.923
945,8085,Sep?Oct?Nov,2006,2006,-0.611
946,8086,Sep?Oct?Nov,2007,2007,0.288
947,8087,Sep?Oct?Nov,2008,2008,1.539
948,8088,Sep?Oct?Nov,2009,2009,1.659
949,8089,Sep?Oct?Nov,2010,2010,0.653
950,8090,Sep?Oct?Nov,2011,2011,1.557
951,8091,Sep?Oct?Nov,2012,2012,0.441
952,8092,Sep?Oct?Nov,2013,2013,3.377
953,8093,Sep?Oct?Nov,2014,2014,1.08
954,8094,Sep?Oct?Nov,2015,2015,1.176
955,8095,Sep?Oct?Nov,2016,2016,0.968
956,8096,Sep?Oct?Nov,2017,2017,1.815
957,8097,Sep?Oct?Nov,2018,2018,0.676
958,8098,Sep?Oct?Nov,2019,2019,0.703
959,8099,Sep?Oct?Nov,2020,2020,0.975
960,8100,Meteorological year,1961,1961,0.28
961,8101,Meteorological year,1962,1962,-0.227
962,8102,Meteorological year,1963,1963,0.136
963,8103,Meteorological year,1964,1964,-0.366
964,8104,Meteorological year,1965,1965,-0.098
965,8105,Meteorological year,1966,1966,-0.24
966,8106,Meteorological year,1967,1967,0.133
967,8107,Meteorological year,1968,1968,-0.088
968,8108,Meteorological year,1969,1969,-0.256
969,8109,Meteorological year,1970,1970,-0.133
970,8110,Meteorological year,1971,1971,0.28
971,8111,Meteorological year,1972,1972,0.621
972,8112,Meteorological year,1973,1973,0.011
973,8113,Meteorological year,1974,1974,0.169
974,8114,Meteorological year,1975,1975,0.177
975,8115,Meteorological year,1976,1976,-0.634
976,8116,Meteorological year,1977,1977,0.25
977,8117,Meteorological year,1978,1978,-0.118
978,8118,Meteorological year,1979,1979,-0.234
979,8119,Meteorological year,1980,1980,0.565
980,8120,Meteorological year,1981,1981,0.706
981,8121,Meteorological year,1982,1982,-0.031
982,8122,Meteorological year,1983,1983,-0.693
983,8123,Meteorological year,1984,1984,0.131
984,8124,Meteorological year,1985,1985,0.18
985,8125,Meteorological year,1986,1986,-0.269
986,8126,Meteorological year,1987,1987,-0.699
987,8127,Meteorological year,1988,1988,0.955
988,8128,Meteorological year,1989,1989,-0.437
989,8129,Meteorological year,1990,1990,0.289
990,8130,Meteorological year,1991,1991,0.677
991,8131,Meteorological year,1992,1992,0.334
992,8132,Meteorological year,1993,1993,-0.728
993,8133,Meteorological year,1994,1994,-0.206
994,8134,Meteorological year,1995,1995,-0.27
995,8135,Meteorological year,1996,1996,0.799
996,8136,Meteorological year,1997,1997,-0.543
997,8137,Meteorological year,1998,1998,-0.47
998,8138,Meteorological year,1999,1999,-0.581
999,8139,Meteorological year,2000,2000,-0.765
1000,8140,Meteorological year,2001,2001,-0.049
1001,8141,Meteorological year,2002,2002,1.272
1002,8142,Meteorological year,2003,2003,-0.463
1003,8143,Meteorological year,2004,2004,0.141
1004,8144,Meteorological year,2005,2005,0.888
1005,8145,Meteorological year,2006,2006,-0.067
1006,8146,Meteorological year,2007,2007,0.694
1007,8147,Meteorological year,2008,2008,0.617
1008,8148,Meteorological year,2009,2009,1.354
1009,8149,Meteorological year,2010,2010,0.825
1010,8150,Meteorological year,2011,2011,0.738
1011,8151,Meteorological year,2012,2012,-0.202
1012,8152,Meteorological year,2013,2013,1.75
1013,8153,Meteorological year,2014,2014,0.559
1014,8154,Meteorological year,2015,2015,-0.085
1015,8155,Meteorological year,2016,2016,0.229
1016,8156,Meteorological year,2017,2017,0.773
1017,8157,Meteorological year,2018,2018,1.451
1018,8158,Meteorological year,2019,2019,0.638
1019,8159,Meteorological year,2020,2020,0.779
