Year Code,Unnamed: 0,Area Code (FAO),Element Code,Months Code,Value
1993.0,7652.0,30.0,7271.0,7009.882352941177,-0.8008823529411765
1994.0,7653.0,30.0,7271.0,7009.882352941177,-0.20588235294117646
1995.0,7654.0,30.0,7271.0,7009.882352941177,-0.1848235294117647
1996.0,7655.0,30.0,7271.0,7009.882352941177,0.8352352941176471
1997.0,7656.0,30.0,7271.0,7009.882352941177,-0.5757058823529411
1998.0,7657.0,30.0,7271.0,7009.882352941177,-0.517
1999.0,7658.0,30.0,7271.0,7009.882352941177,-0.7121176470588235
2000.0,7659.0,30.0,7271.0,7009.882352941177,-0.5923529411764706
2001.0,7660.0,30.0,7271.0,7009.882352941177,-0.015411764705882331
2002.0,7661.0,30.0,7271.0,7009.882352941177,1.1235882352941176
2003.0,7662.0,30.0,7271.0,7009.882352941177,-0.24747058823529416
2004.0,7663.0,30.0,7271.0,7009.882352941177,0.1468235294117647
2005.0,7664.0,30.0,7271.0,7009.882352941177,0.9485294117647058
2006.0,7665.0,30.0,7271.0,7009.882352941177,-0.28252941176470586
2007.0,7666.0,30.0,7271.0,7009.882352941177,0.7327058823529411
2008.0,7667.0,30.0,7271.0,7009.882352941177,0.6541176470588235
2009.0,7668.0,30.0,7271.0,7009.882352941177,1.3886470588235293
2010.0,7669.0,30.0,7271.0,7009.882352941177,0.8054117647058824
2011.0,7670.0,30.0,7271.0,7009.882352941177,0.7325882352941177
2012.0,7671.0,30.0,7271.0,7009.882352941177,-0.10770588235294118
2013.0,7672.0,30.0,7271.0,7009.882352941177,1.701235294117647
2014.0,7673.0,30.0,7271.0,7009.882352941177,0.496
2015.0,7674.0,30.0,7271.0,7009.882352941177,-0.13335294117647065
2016.0,7675.0,30.0,7271.0,7009.882352941177,0.3317058823529412
2017.0,7676.0,30.0,7271.0,7009.882352941177,0.6868823529411765
2018.0,7677.0,30.0,7271.0,7009.882352941177,1.587235294117647
2019.0,7678.0,30.0,7271.0,7009.882352941177,0.5485882352941177
2020.0,7679.0,30.0,7271.0,7009.882352941177,0.7986470588235294
