year,GMSL_GIA
1993,-26.4
1994,-19.56
1995,-16.76
1996,-13.05
1997,-7.27
1998,-19.57
1999,-9.93
2000,-0.3
2001,0.04
2002,5.78
2003,4.58
2004,7.43
2005,10.3
2006,14.21
2007,11.96
2008,15.21
2009,23.54
2010,18.9
2011,24.57
2012,33.75
2013,32.95
2014,39.2
2015,53.32
2016,50.64
2017,53.12
2018,59.28
2019,64.39
2020,64.39
2021,59.8
